,customer_id,campaign_id,response
0,Cus1000,Cmp118,Click
1,Cus1001,Cmp107,Ignore
2,Cus1002,Cmp101,Ignore
3,Cus1003,Cmp107,View
4,Cus1004,Cmp109,View
5,Cus1005,Cmp114,View
6,Cus1006,Cmp115,View
7,Cus1007,Cmp116,Click
8,Cus1008,Cmp118,Click
9,Cus1009,Cmp108,View
10,Cus1010,Cmp111,View
11,Cus1011,Cmp101,Ignore
12,Cus1012,Cmp114,View
13,Cus1013,Cmp106,Click
14,Cus1014,Cmp103,Ignore
15,Cus1015,Cmp107,Ignore
16,Cus1016,Cmp101,Click
17,Cus1017,Cmp108,Ignore
18,Cus1018,Cmp102,Click
19,Cus1019,Cmp103,View
20,Cus1020,Cmp106,Ignore
21,Cus1021,Cmp118,Ignore
22,Cus1022,Cmp111,Ignore
23,Cus1023,Cmp119,Ignore
24,Cus1024,Cmp113,View
25,Cus1025,Cmp119,View
26,Cus1026,Cmp106,View
27,Cus1027,Cmp101,View
28,Cus1028,Cmp111,View
29,Cus1029,Cmp108,View
30,Cus1030,Cmp117,View
31,Cus1031,Cmp110,Ignore
32,Cus1032,Cmp109,Ignore
33,Cus1033,Cmp118,Ignore
34,Cus1034,Cmp116,Ignore
35,Cus1035,Cmp103,View
36,Cus1036,Cmp113,Click
37,Cus1037,Cmp108,Ignore
38,Cus1038,Cmp104,Ignore
39,Cus1039,Cmp104,View
40,Cus1040,Cmp104,Ignore
41,Cus1041,Cmp110,View
42,Cus1042,Cmp112,Click
43,Cus1043,Cmp104,View
44,Cus1044,Cmp108,Ignore
45,Cus1045,Cmp113,Click
46,Cus1046,Cmp114,Click
47,Cus1047,Cmp102,Click
48,Cus1048,Cmp116,Ignore
49,Cus1049,Cmp108,Ignore
50,Cus1050,Cmp111,Click
51,Cus1051,Cmp115,Ignore
52,Cus1052,Cmp118,Click
53,Cus1053,Cmp102,Ignore
54,Cus1054,Cmp114,Ignore
55,Cus1055,Cmp111,Click
56,Cus1056,Cmp117,Click
57,Cus1057,Cmp106,Click
58,Cus1058,Cmp106,Click
59,Cus1059,Cmp108,Ignore
60,Cus1060,Cmp109,Ignore
61,Cus1061,Cmp117,View
62,Cus1062,Cmp104,View
63,Cus1063,Cmp115,Ignore
64,Cus1064,Cmp101,Click
65,Cus1065,Cmp103,Ignore
66,Cus1066,Cmp114,Click
67,Cus1067,Cmp103,View
68,Cus1068,Cmp114,Click
69,Cus1069,Cmp100,Click
70,Cus1070,Cmp106,Ignore
71,Cus1071,Cmp104,Ignore
72,Cus1072,Cmp109,View
73,Cus1073,Cmp108,Click
74,Cus1074,Cmp111,Ignore
75,Cus1075,Cmp102,Ignore
76,Cus1076,Cmp105,Click
77,Cus1077,Cmp112,Ignore
78,Cus1078,Cmp109,Ignore
79,Cus1079,Cmp107,Click
80,Cus1080,Cmp102,Ignore
81,Cus1081,Cmp103,Click
82,Cus1082,Cmp106,Click
83,Cus1083,Cmp102,View
84,Cus1084,Cmp118,View
85,Cus1085,Cmp116,Ignore
86,Cus1086,Cmp114,Click
87,Cus1087,Cmp100,Ignore
88,Cus1088,Cmp110,Click
89,Cus1089,Cmp113,Ignore
90,Cus1090,Cmp104,Click
91,Cus1091,Cmp102,View
92,Cus1092,Cmp112,Click
93,Cus1093,Cmp103,Click
94,Cus1094,Cmp110,Ignore
95,Cus1095,Cmp109,View
96,Cus1096,Cmp112,View
97,Cus1097,Cmp104,Click
98,Cus1098,Cmp116,View
99,Cus1099,Cmp100,View
100,Cus1100,Cmp105,Click
101,Cus1101,Cmp111,Ignore
102,Cus1102,Cmp106,Ignore
103,Cus1103,Cmp104,Click
104,Cus1104,Cmp119,Ignore
105,Cus1105,Cmp114,View
106,Cus1106,Cmp102,Click
107,Cus1107,Cmp104,Click
108,Cus1108,Cmp118,Ignore
109,Cus1109,Cmp112,Ignore
110,Cus1110,Cmp113,Ignore
111,Cus1111,Cmp104,View
112,Cus1112,Cmp108,Ignore
113,Cus1113,Cmp102,View
114,Cus1114,Cmp117,View
115,Cus1115,Cmp119,Ignore
116,Cus1116,Cmp119,Ignore
117,Cus1117,Cmp100,Ignore
118,Cus1118,Cmp109,View
119,Cus1119,Cmp116,View
