customer_id,campaign_id,response
CUS1000, CMP118,Click
CUS1001,CMP107 ,Ignore
CUS1002,CMP101,Ignore
CUS1003,CMP107 ,VIEW
CUS1004,cmp109,View
CUS1005,CMP114,VIEW
CUS1006,CMP115,VIEW
CUS1007,cmp116,Click
CUS1008, CMP118,Click
CUS1009, CMP108,VIEW
CUS1010,cmp111,VIEW
CUS1011,CMP101, ig nore 
CUS1012,CMP114,VIEW
CUS1013,CMP106 , click 
CUS1014,CMP103 , ig nore 
CUS1015,CMP107 ,Ignore
CUS1016,CMP101, click 
CUS1017, CMP108,Ignore
CUS1018, CMP102, click 
CUS1019,CMP103 ,View
CUS1020,CMP106 , ig nore 
CUS1021, CMP118, ig nore 
CUS1022,cmp111, ig nore 
CUS1023, CMP119, ig nore 
CUS1024,cmp113,View
CUS1025, CMP119,View
CUS1026,CMP106 ,View
CUS1027,CMP101,VIEW
CUS1028,cmp111,VIEW
CUS1029, CMP108,VIEW
CUS1030, CMP117,View
CUS1031, CMP110, ig nore 
CUS1032,cmp109,Ignore
CUS1033, CMP118,Ignore
CUS1034,cmp116, ig nore 
CUS1035,CMP103 ,View
CUS1036,cmp113,Click
CUS1037, CMP108, ig nore 
CUS1038,CMP104, ig nore 
CUS1039,CMP104,View
CUS1040,CMP104, ig nore 
CUS1041, CMP110,View
CUS1042, CMP112, click 
CUS1043,CMP104,VIEW
CUS1044, CMP108, ig nore 
CUS1045,cmp113, click 
CUS1046,CMP114,Click
CUS1047, CMP102, click 
CUS1048,cmp116, ig nore 
CUS1049, CMP108, ig nore 
CUS1050,cmp111, click 
CUS1051,CMP115,Ignore
CUS1052, CMP118,Click
CUS1053, CMP102, ig nore 
CUS1054,CMP114, ig nore 
CUS1055,cmp111,Click
CUS1056, CMP117, click 
CUS1057,CMP106 , click 
CUS1058,CMP106 , click 
CUS1059, CMP108,Ignore
CUS1060,cmp109,Ignore
CUS1061, CMP117,VIEW
CUS1062,CMP104,VIEW
CUS1063,CMP115,Ignore
CUS1064,CMP101,Click
CUS1065,CMP103 , ig nore 
CUS1066,CMP114,Click
CUS1067,CMP103 ,View
CUS1068,CMP114, click 
CUS1069, CMP100, click 
CUS1070,CMP106 , ig nore 
CUS1071,CMP104, ig nore 
CUS1072,cmp109,View
CUS1073, CMP108,Click
CUS1074,cmp111,Ignore
CUS1075, CMP102,Ignore
CUS1076,CMP105 ,Click
CUS1077, CMP112, ig nore 
CUS1078,cmp109, ig nore 
CUS1079,CMP107 , click 
CUS1080, CMP102, ig nore 
CUS1081,CMP103 ,Click
CUS1082,CMP106 , click 
CUS1083, CMP102,View
CUS1084, CMP118,View
CUS1085,cmp116, ig nore 
CUS1086,CMP114,Click
CUS1087, CMP100, ig nore 
CUS1088, CMP110,Click
CUS1089,cmp113, ig nore 
CUS1090,CMP104, click 
CUS1091, CMP102,View
CUS1092, CMP112,Click
CUS1093,CMP103 ,Click
CUS1094, CMP110,Ignore
CUS1095,cmp109,View
CUS1096, CMP112,View
CUS1097,CMP104,Click
CUS1098,cmp116,VIEW
CUS1099, CMP100,VIEW
CUS1100,CMP105 , click 
CUS1101,cmp111, ig nore 
CUS1102,CMP106 , ig nore 
CUS1103,CMP104, click 
CUS1104, CMP119, ig nore 
CUS1105,CMP114,View
CUS1106, CMP102,Click
CUS1107,CMP104,Click
CUS1108, CMP118, ig nore 
CUS1109, CMP112,Ignore
CUS1110,cmp113,Ignore
CUS1111,CMP104,View
CUS1112, CMP108, ig nore 
CUS1113, CMP102,View
CUS1114, CMP117,VIEW
CUS1115, CMP119, ig nore 
CUS1116, CMP119,Ignore
CUS1117, CMP100, ig nore 
CUS1118,cmp109,View
CUS1119,cmp116,VIEW
