customer_id,campaign_id,converted,amount
CUS1065,cmp113, ,300k
CUS1037,CMP106 ,0,200000
CUS1063, CMP108,0,200000
CUS1063,CMP103 ,yes,100000
CUS1067, CMP102,0,350000
CUS1119,CMP104,1,300k
CUS1110,CMP104,yes,300k
CUS1046, CMP100, ,200000
CUS1097,cmp109,0,100000
CUS1075, CMP118,0,350000
CUS1027,CMP114,0,300k
CUS1064,cmp113, ,
CUS1064,cmp116,0,300k
CUS1089,CMP115,0,
CUS1068,CMP114,yes,200000
CUS1035,cmp111,1,100000
CUS1065, CMP100,1,200000
CUS1068, CMP110,0,500000
CUS1081,CMP104, ,
CUS1082, CMP118,1,
CUS1055,CMP103 ,1,100000
CUS1031,CMP101,0,100000
CUS1058,cmp109,yes,100000
CUS1039,cmp116, ,
CUS1094,cmp111,0,100000
CUS1090, CMP108, ,100000
CUS1020,CMP115,1,500000
CUS1066,CMP105 , ,350000
CUS1021, CMP102,1,
CUS1099,CMP104,1,
CUS1113,CMP107 ,0,350000
CUS1103,CMP114,1,500000
CUS1008, CMP118, ,500000
CUS1080, CMP108,0,300k
CUS1065,CMP114,0,300k
CUS1109,cmp109,1,350000
CUS1020,cmp109,0,500000
CUS1086, CMP112,0,200000
CUS1094,CMP103 ,0,100000
CUS1109,cmp113,0,200000
CUS1005,cmp109,1,300k
CUS1117,CMP103 ,1,100000
CUS1070,CMP106 , ,
CUS1083, CMP102,1,350000
CUS1031, CMP102, ,350000
CUS1034,CMP114,0,500000
CUS1047,CMP107 ,yes,
CUS1115,CMP115,1,200000
CUS1102,CMP114,0,300k
CUS1008, CMP108,0,350000
CUS1099, CMP118,1,350000
CUS1011,CMP106 ,0,100000
CUS1047, CMP119,1,500000
CUS1100,CMP104, ,500000
CUS1031, CMP108,1,500000
CUS1063,cmp116,1,
CUS1115, CMP100,1,200000
CUS1000,cmp116,0,100000
CUS1029, CMP100,1,
CUS1107, CMP110,0,350000
CUS1000,CMP104, ,300k
CUS1108, CMP110, ,350000
CUS1013,CMP106 ,yes,200000
CUS1053,CMP104,0,200000
CUS1091,CMP103 ,0,100000
CUS1117, CMP108,yes,300k
CUS1089, CMP117,1,300k
CUS1095,cmp111,yes,100000
CUS1064, CMP108, ,300k
CUS1009, CMP102,yes,100000
CUS1055, CMP118,1,200000
CUS1037, CMP118,1,300k
CUS1089, CMP102, ,350000
CUS1040,CMP106 ,1,200000
CUS1009, CMP119,1,500000
CUS1013,CMP103 ,0,200000
CUS1057, CMP108,1,300k
CUS1015,CMP114,1,200000
CUS1057,CMP104,0,350000
CUS1109,CMP107 ,0,200000
CUS1103, CMP100,1,
CUS1089, CMP112,0,200000
CUS1106, CMP112,1,200000
CUS1011, CMP102,1,350000
CUS1050,CMP103 ,0,
CUS1038, CMP118,1,100000
CUS1051, CMP112,0,500000
CUS1095,CMP106 ,1,100000
CUS1059,CMP106 ,1,100000
CUS1001,cmp116,1,200000
CUS1025,CMP114,0,350000
CUS1087, CMP102, ,100000
CUS1074, CMP102,1,100000
CUS1002, CMP118,1,
CUS1056,CMP104,1,100000
CUS1115, CMP118,1,100000
CUS1005, CMP108,0,200000
CUS1118, CMP108,0,
CUS1050,CMP115,0,300k
CUS1087,CMP114,1,350000
CUS1027, CMP119,1,350000
CUS1035,CMP106 ,1,100000
CUS1078,CMP107 ,yes,200000
CUS1082, CMP108,0,300k
CUS1112,CMP106 ,0,100000
CUS1011,CMP103 ,0,200000
CUS1053, CMP119, ,500000
CUS1031, CMP102,yes,100000
CUS1048,CMP105 , ,350000
CUS1061, CMP100,0,350000
CUS1116,cmp109,yes,350000
CUS1049,cmp116,1,100000
CUS1040,CMP105 ,1,100000
CUS1114,CMP104,1,100000
CUS1103,cmp109,yes,350000
CUS1098,cmp111,1,200000
CUS1012, CMP110, ,200000
CUS1034,CMP114, ,100000
CUS1097,cmp111,yes,300k
CUS1045,cmp116,1,200000
