Unnamed: 0_x,campaign_id_x,channel,budget,Unnamed: 0_y,customer_id,response,Unnamed: 0,campaign_id_y,converted,amount
0,CMP100,Facebook,8000000,69,CUS1069,Click,,,,
0,CMP100,Facebook,8000000,87,CUS1087,Ignore,91.0,CMP102,,100000.0
0,CMP100,Facebook,8000000,87,CUS1087,Ignore,99.0,CMP114,1.0,350000.0
0,CMP100,Facebook,8000000,99,CUS1099,View,29.0,CMP104,1.0,
0,CMP100,Facebook,8000000,99,CUS1099,View,50.0,CMP118,1.0,350000.0
0,CMP100,Facebook,8000000,117,CUS1117,Ignore,41.0,CMP103,1.0,100000.0
0,CMP100,Facebook,8000000,117,CUS1117,Ignore,65.0,CMP108,1.0,300000.0
1,CMP101,TikTok,5000000,2,CUS1002,Ignore,93.0,CMP118,1.0,
1,CMP101,TikTok,5000000,11,CUS1011,Ignore,51.0,CMP106,0.0,100000.0
1,CMP101,TikTok,5000000,11,CUS1011,Ignore,83.0,CMP102,1.0,350000.0
1,CMP101,TikTok,5000000,11,CUS1011,Ignore,105.0,CMP103,0.0,200000.0
1,CMP101,TikTok,5000000,16,CUS1016,Click,,,,
1,CMP101,TikTok,5000000,27,CUS1027,View,10.0,CMP114,0.0,300000.0
1,CMP101,TikTok,5000000,27,CUS1027,View,100.0,CMP119,1.0,350000.0
1,CMP101,TikTok,5000000,64,CUS1064,Click,11.0,CMP113,,
1,CMP101,TikTok,5000000,64,CUS1064,Click,12.0,CMP116,0.0,300000.0
1,CMP101,TikTok,5000000,64,CUS1064,Click,68.0,CMP108,,300000.0
2,CMP102,Facebook,7000000,18,CUS1018,Click,,,,
2,CMP102,Facebook,7000000,47,CUS1047,Click,46.0,CMP107,1.0,
2,CMP102,Facebook,7000000,47,CUS1047,Click,52.0,CMP119,1.0,500000.0
2,CMP102,Facebook,7000000,53,CUS1053,Ignore,63.0,CMP104,0.0,200000.0
2,CMP102,Facebook,7000000,53,CUS1053,Ignore,106.0,CMP119,,500000.0
2,CMP102,Facebook,7000000,75,CUS1075,Ignore,9.0,CMP118,0.0,350000.0
2,CMP102,Facebook,7000000,80,CUS1080,Ignore,33.0,CMP108,0.0,300000.0
2,CMP102,Facebook,7000000,83,CUS1083,View,43.0,CMP102,1.0,350000.0
2,CMP102,Facebook,7000000,91,CUS1091,View,64.0,CMP103,0.0,100000.0
2,CMP102,Facebook,7000000,106,CUS1106,Click,82.0,CMP112,1.0,200000.0
2,CMP102,Facebook,7000000,113,CUS1113,View,30.0,CMP107,0.0,350000.0
3,CMP103,Facebook,10000000,14,CUS1014,Ignore,,,,
3,CMP103,Facebook,10000000,19,CUS1019,View,,,,
3,CMP103,Facebook,10000000,35,CUS1035,View,15.0,CMP111,1.0,100000.0
3,CMP103,Facebook,10000000,35,CUS1035,View,101.0,CMP106,1.0,100000.0
3,CMP103,Facebook,10000000,65,CUS1065,Ignore,0.0,CMP113,,300000.0
3,CMP103,Facebook,10000000,65,CUS1065,Ignore,16.0,CMP100,1.0,200000.0
3,CMP103,Facebook,10000000,65,CUS1065,Ignore,34.0,CMP114,0.0,300000.0
3,CMP103,Facebook,10000000,67,CUS1067,View,4.0,CMP102,0.0,350000.0
3,CMP103,Facebook,10000000,81,CUS1081,Click,18.0,CMP104,,
3,CMP103,Facebook,10000000,93,CUS1093,Click,,,,
4,CMP104,Google,7000000,38,CUS1038,Ignore,85.0,CMP118,1.0,100000.0
4,CMP104,Google,7000000,39,CUS1039,View,23.0,CMP116,,
4,CMP104,Google,7000000,40,CUS1040,Ignore,73.0,CMP106,1.0,200000.0
4,CMP104,Google,7000000,40,CUS1040,Ignore,112.0,CMP105,1.0,100000.0
4,CMP104,Google,7000000,43,CUS1043,View,,,,
4,CMP104,Google,7000000,62,CUS1062,View,,,,
4,CMP104,Google,7000000,71,CUS1071,Ignore,,,,
4,CMP104,Google,7000000,90,CUS1090,Click,25.0,CMP108,,100000.0
4,CMP104,Google,7000000,97,CUS1097,Click,8.0,CMP109,0.0,100000.0
4,CMP104,Google,7000000,97,CUS1097,Click,118.0,CMP111,1.0,300000.0
4,CMP104,Google,7000000,103,CUS1103,Click,31.0,CMP114,1.0,500000.0
4,CMP104,Google,7000000,103,CUS1103,Click,80.0,CMP100,1.0,
4,CMP104,Google,7000000,103,CUS1103,Click,114.0,CMP109,1.0,350000.0
4,CMP104,Google,7000000,107,CUS1107,Click,59.0,CMP110,0.0,350000.0
4,CMP104,Google,7000000,111,CUS1111,View,,,,
5,CMP105,Facebook,7000000,76,CUS1076,Click,,,,
5,CMP105,Facebook,7000000,100,CUS1100,Click,53.0,CMP104,,500000.0
6,CMP106,Facebook,7000000,13,CUS1013,Click,62.0,CMP106,1.0,200000.0
6,CMP106,Facebook,7000000,13,CUS1013,Click,75.0,CMP103,0.0,200000.0
6,CMP106,Facebook,7000000,20,CUS1020,Ignore,26.0,CMP115,1.0,500000.0
6,CMP106,Facebook,7000000,20,CUS1020,Ignore,36.0,CMP109,0.0,500000.0
6,CMP106,Facebook,7000000,26,CUS1026,View,,,,
6,CMP106,Facebook,7000000,57,CUS1057,Click,76.0,CMP108,1.0,300000.0
6,CMP106,Facebook,7000000,57,CUS1057,Click,78.0,CMP104,0.0,350000.0
6,CMP106,Facebook,7000000,58,CUS1058,Click,22.0,CMP109,1.0,100000.0
6,CMP106,Facebook,7000000,70,CUS1070,Ignore,42.0,CMP106,,
6,CMP106,Facebook,7000000,82,CUS1082,Click,19.0,CMP118,1.0,
6,CMP106,Facebook,7000000,82,CUS1082,Click,103.0,CMP108,0.0,300000.0
6,CMP106,Facebook,7000000,102,CUS1102,Ignore,48.0,CMP114,0.0,300000.0
7,CMP107,Google,7000000,1,CUS1001,Ignore,89.0,CMP116,1.0,200000.0
7,CMP107,Google,7000000,3,CUS1003,View,,,,
7,CMP107,Google,7000000,15,CUS1015,Ignore,77.0,CMP114,1.0,200000.0
7,CMP107,Google,7000000,79,CUS1079,Click,,,,
8,CMP108,Email,10000000,9,CUS1009,View,69.0,CMP102,1.0,100000.0
8,CMP108,Email,10000000,9,CUS1009,View,74.0,CMP119,1.0,500000.0
8,CMP108,Email,10000000,17,CUS1017,Ignore,,,,
8,CMP108,Email,10000000,29,CUS1029,View,58.0,CMP100,1.0,
8,CMP108,Email,10000000,37,CUS1037,Ignore,1.0,CMP106,0.0,200000.0
8,CMP108,Email,10000000,37,CUS1037,Ignore,71.0,CMP118,1.0,300000.0
8,CMP108,Email,10000000,44,CUS1044,Ignore,,,,
8,CMP108,Email,10000000,49,CUS1049,Ignore,111.0,CMP116,1.0,100000.0
8,CMP108,Email,10000000,59,CUS1059,Ignore,88.0,CMP106,1.0,100000.0
8,CMP108,Email,10000000,73,CUS1073,Click,,,,
8,CMP108,Email,10000000,112,CUS1112,Ignore,104.0,CMP106,0.0,100000.0
9,CMP109,Facebook,8000000,4,CUS1004,View,,,,
9,CMP109,Facebook,8000000,32,CUS1032,Ignore,,,,
9,CMP109,Facebook,8000000,60,CUS1060,Ignore,,,,
9,CMP109,Facebook,8000000,72,CUS1072,View,,,,
9,CMP109,Facebook,8000000,78,CUS1078,Ignore,102.0,CMP107,1.0,200000.0
9,CMP109,Facebook,8000000,95,CUS1095,View,67.0,CMP111,1.0,100000.0
9,CMP109,Facebook,8000000,95,CUS1095,View,87.0,CMP106,1.0,100000.0
9,CMP109,Facebook,8000000,118,CUS1118,View,97.0,CMP108,0.0,
