Unnamed: 0,customer_id,campaign_id,converted,amount
0,CUS1065,CMP113,,300000.0
1,CUS1037,CMP106,0.0,200000.0
2,CUS1063,CMP108,0.0,200000.0
3,CUS1063,CMP103,1.0,100000.0
4,CUS1067,CMP102,0.0,350000.0
5,CUS1119,CMP104,1.0,300000.0
6,CUS1110,CMP104,1.0,300000.0
7,CUS1046,CMP100,,200000.0
8,CUS1097,CMP109,0.0,100000.0
9,CUS1075,CMP118,0.0,350000.0
10,CUS1027,CMP114,0.0,300000.0
11,CUS1064,CMP113,,
12,CUS1064,CMP116,0.0,300000.0
13,CUS1089,CMP115,0.0,
14,CUS1068,CMP114,1.0,200000.0
15,CUS1035,CMP111,1.0,100000.0
16,CUS1065,CMP100,1.0,200000.0
17,CUS1068,CMP110,0.0,500000.0
18,CUS1081,CMP104,,
19,CUS1082,CMP118,1.0,
20,CUS1055,CMP103,1.0,100000.0
21,CUS1031,CMP101,0.0,100000.0
22,CUS1058,CMP109,1.0,100000.0
23,CUS1039,CMP116,,
24,CUS1094,CMP111,0.0,100000.0
25,CUS1090,CMP108,,100000.0
26,CUS1020,CMP115,1.0,500000.0
27,CUS1066,CMP105,,350000.0
28,CUS1021,CMP102,1.0,
29,CUS1099,CMP104,1.0,
30,CUS1113,CMP107,0.0,350000.0
31,CUS1103,CMP114,1.0,500000.0
32,CUS1008,CMP118,,500000.0
33,CUS1080,CMP108,0.0,300000.0
34,CUS1065,CMP114,0.0,300000.0
35,CUS1109,CMP109,1.0,350000.0
36,CUS1020,CMP109,0.0,500000.0
37,CUS1086,CMP112,0.0,200000.0
38,CUS1094,CMP103,0.0,100000.0
39,CUS1109,CMP113,0.0,200000.0
40,CUS1005,CMP109,1.0,300000.0
41,CUS1117,CMP103,1.0,100000.0
42,CUS1070,CMP106,,
43,CUS1083,CMP102,1.0,350000.0
44,CUS1031,CMP102,,350000.0
45,CUS1034,CMP114,0.0,500000.0
46,CUS1047,CMP107,1.0,
47,CUS1115,CMP115,1.0,200000.0
48,CUS1102,CMP114,0.0,300000.0
49,CUS1008,CMP108,0.0,350000.0
50,CUS1099,CMP118,1.0,350000.0
51,CUS1011,CMP106,0.0,100000.0
52,CUS1047,CMP119,1.0,500000.0
53,CUS1100,CMP104,,500000.0
54,CUS1031,CMP108,1.0,500000.0
55,CUS1063,CMP116,1.0,
56,CUS1115,CMP100,1.0,200000.0
57,CUS1000,CMP116,0.0,100000.0
58,CUS1029,CMP100,1.0,
59,CUS1107,CMP110,0.0,350000.0
60,CUS1000,CMP104,,300000.0
61,CUS1108,CMP110,,350000.0
62,CUS1013,CMP106,1.0,200000.0
63,CUS1053,CMP104,0.0,200000.0
64,CUS1091,CMP103,0.0,100000.0
65,CUS1117,CMP108,1.0,300000.0
66,CUS1089,CMP117,1.0,300000.0
67,CUS1095,CMP111,1.0,100000.0
68,CUS1064,CMP108,,300000.0
69,CUS1009,CMP102,1.0,100000.0
70,CUS1055,CMP118,1.0,200000.0
71,CUS1037,CMP118,1.0,300000.0
72,CUS1089,CMP102,,350000.0
73,CUS1040,CMP106,1.0,200000.0
74,CUS1009,CMP119,1.0,500000.0
75,CUS1013,CMP103,0.0,200000.0
76,CUS1057,CMP108,1.0,300000.0
77,CUS1015,CMP114,1.0,200000.0
78,CUS1057,CMP104,0.0,350000.0
79,CUS1109,CMP107,0.0,200000.0
80,CUS1103,CMP100,1.0,
81,CUS1089,CMP112,0.0,200000.0
82,CUS1106,CMP112,1.0,200000.0
83,CUS1011,CMP102,1.0,350000.0
84,CUS1050,CMP103,0.0,
85,CUS1038,CMP118,1.0,100000.0
86,CUS1051,CMP112,0.0,500000.0
87,CUS1095,CMP106,1.0,100000.0
88,CUS1059,CMP106,1.0,100000.0
89,CUS1001,CMP116,1.0,200000.0
90,CUS1025,CMP114,0.0,350000.0
91,CUS1087,CMP102,,100000.0
92,CUS1074,CMP102,1.0,100000.0
93,CUS1002,CMP118,1.0,
94,CUS1056,CMP104,1.0,100000.0
95,CUS1115,CMP118,1.0,100000.0
96,CUS1005,CMP108,0.0,200000.0
97,CUS1118,CMP108,0.0,
98,CUS1050,CMP115,0.0,300000.0
99,CUS1087,CMP114,1.0,350000.0
100,CUS1027,CMP119,1.0,350000.0
101,CUS1035,CMP106,1.0,100000.0
102,CUS1078,CMP107,1.0,200000.0
103,CUS1082,CMP108,0.0,300000.0
104,CUS1112,CMP106,0.0,100000.0
105,CUS1011,CMP103,0.0,200000.0
106,CUS1053,CMP119,,500000.0
107,CUS1031,CMP102,1.0,100000.0
108,CUS1048,CMP105,,350000.0
109,CUS1061,CMP100,0.0,350000.0
110,CUS1116,CMP109,1.0,350000.0
111,CUS1049,CMP116,1.0,100000.0
112,CUS1040,CMP105,1.0,100000.0
113,CUS1114,CMP104,1.0,100000.0
114,CUS1103,CMP109,1.0,350000.0
115,CUS1098,CMP111,1.0,200000.0
116,CUS1012,CMP110,,200000.0
117,CUS1034,CMP114,,100000.0
118,CUS1097,CMP111,1.0,300000.0
119,CUS1045,CMP116,1.0,200000.0
